risk_budget,method,seed,mean_coverage,ci95_coverage,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_intervention_cost,ci95_intervention_cost,mean_ece,ci95_ece,mean_utility,ci95_utility,groups
0.05,failure_aware_manipulation_policy,3,0.345486,0.037177,0.121528,0.026967,0.482532,0.003363,0.067708,0.021327,0.015625,0.009992,0.126736,0.026699,0.321181,0.038711,0.24006,0.001096,0.120347,0.001076,-0.05287,0.028347,192
0.05,failure_aware_manipulation_policy,4,0.310764,0.035145,0.119792,0.026028,0.482186,0.003182,0.067708,0.021327,0.019097,0.010986,0.107639,0.024119,0.340278,0.039774,0.240121,0.000979,0.120591,0.001068,-0.053866,0.028227,192
0.05,failure_aware_manipulation_policy,5,0.359375,0.03827,0.138889,0.027435,0.48168,0.003405,0.064236,0.022076,0.010417,0.008225,0.112847,0.026645,0.361111,0.037786,0.239681,0.001017,0.119564,0.001041,-0.033747,0.027782,192
0.05,failure_aware_manipulation_policy,6,0.345486,0.038711,0.157986,0.029322,0.48206,0.003225,0.065972,0.020606,0.019097,0.010986,0.123264,0.027452,0.328125,0.039041,0.239358,0.00111,0.120366,0.001075,-0.010585,0.030667,192
0.05,failure_aware_manipulation_policy,7,0.324653,0.039029,0.133681,0.028569,0.482605,0.0034,0.074653,0.021407,0.012153,0.00886,0.145833,0.028798,0.350694,0.038821,0.239668,0.001016,0.120172,0.001054,-0.048082,0.031166,192
0.05,failure_aware_manipulation_policy,8,0.338542,0.039338,0.147569,0.030775,0.480883,0.003331,0.064236,0.020433,0.020833,0.011443,0.098958,0.02462,0.34375,0.039759,0.239258,0.001064,0.120275,0.001082,-0.023337,0.034149,192
0.05,failure_aware_manipulation_policy,9,0.376736,0.03856,0.149306,0.030796,0.48135,0.0032,0.078125,0.022747,0.017361,0.010504,0.131944,0.027276,0.340278,0.03736,0.23962,0.001014,0.120437,0.001022,-0.022755,0.030323,192
0.05,goal_retargeting_heuristic,0,0.307292,0.036718,0.135417,0.028198,0.395395,0.003404,0.104167,0.025359,0.027778,0.013066,0.118056,0.027699,0.284722,0.037978,0.230666,0.001041,0.138593,0.001029,-0.064859,0.030395,192
0.05,goal_retargeting_heuristic,1,0.298611,0.038283,0.116319,0.026343,0.394673,0.003079,0.109375,0.028201,0.038194,0.015057,0.170139,0.031265,0.289931,0.036386,0.230227,0.000904,0.138947,0.001113,-0.092167,0.029403,192
0.05,goal_retargeting_heuristic,2,0.289931,0.037952,0.088542,0.024943,0.39577,0.003327,0.100694,0.023754,0.024306,0.012291,0.147569,0.029619,0.262153,0.036466,0.230367,0.001116,0.138221,0.001086,-0.100357,0.026281,192
0.05,goal_retargeting_heuristic,3,0.286458,0.037249,0.107639,0.024597,0.395718,0.003244,0.104167,0.025814,0.034722,0.014441,0.163194,0.02854,0.265625,0.037541,0.231166,0.001073,0.138552,0.001061,-0.090952,0.025704,192
0.05,goal_retargeting_heuristic,4,0.315972,0.040292,0.111111,0.027435,0.39755,0.003103,0.111111,0.025225,0.038194,0.015812,0.159722,0.031989,0.277778,0.037786,0.230048,0.001226,0.138931,0.001073,-0.097897,0.026546,192
0.05,goal_retargeting_heuristic,5,0.28125,0.035011,0.114583,0.025373,0.395007,0.00303,0.100694,0.024239,0.022569,0.011877,0.157986,0.028106,0.303819,0.038522,0.230171,0.000932,0.138051,0.001032,-0.079783,0.026431,192
0.05,goal_retargeting_heuristic,6,0.298611,0.038283,0.114583,0.025828,0.392986,0.003357,0.088542,0.023502,0.03125,0.013779,0.178819,0.032678,0.28125,0.035995,0.230825,0.001084,0.138144,0.001052,-0.074912,0.024255,192
0.05,goal_retargeting_heuristic,7,0.310764,0.040385,0.125,0.027926,0.396711,0.003345,0.074653,0.02029,0.039931,0.015351,0.173611,0.033063,0.295139,0.036662,0.229553,0.00103,0.138764,0.001062,-0.068503,0.02882,192
0.05,goal_retargeting_heuristic,8,0.282986,0.036526,0.09375,0.024319,0.397094,0.003407,0.097222,0.026353,0.019097,0.010986,0.168403,0.029347,0.270833,0.037876,0.230177,0.00101,0.138295,0.001062,-0.107029,0.024754,192
0.05,goal_retargeting_heuristic,9,0.284722,0.034442,0.105903,0.024512,0.395339,0.003246,0.092014,0.024689,0.03125,0.0146,0.145833,0.029199,0.307292,0.03827,0.23007,0.001162,0.13899,0.00105,-0.083973,0.026036,192
0.05,learned_goal_state_classifier,0,0.366319,0.04024,0.163194,0.03089,0.548394,0.003329,0.074653,0.021944,0.015625,0.009992,0.137153,0.029048,0.362847,0.038219,0.230408,0.00102,0.102115,0.001049,-0.024258,0.031022,192
0.05,learned_goal_state_classifier,1,0.401042,0.038459,0.159722,0.030499,0.547147,0.003049,0.0625,0.020256,0.005208,0.005863,0.119792,0.027759,0.357639,0.038746,0.229582,0.000972,0.102227,0.001052,-0.004832,0.032463,192
0.05,learned_goal_state_classifier,2,0.357639,0.034956,0.161458,0.02894,0.547585,0.003379,0.072917,0.022323,0.005208,0.005863,0.119792,0.027759,0.375,0.036267,0.230299,0.001112,0.102324,0.000985,-0.014059,0.031416,192
0.05,learned_goal_state_classifier,3,0.366319,0.038767,0.168403,0.028543,0.546641,0.003425,0.078125,0.021156,0.010417,0.008225,0.125,0.025302,0.383681,0.040168,0.230877,0.001001,0.10208,0.001118,0.0033,0.029845,192
0.05,learned_goal_state_classifier,4,0.371528,0.038821,0.161458,0.030122,0.547131,0.00325,0.071181,0.024183,0.013889,0.009446,0.109375,0.025147,0.305556,0.037477,0.229676,0.000944,0.102414,0.001104,-0.005253,0.032168,192
0.05,learned_goal_state_classifier,5,0.425347,0.042662,0.196181,0.033164,0.547195,0.003396,0.057292,0.019696,0.003472,0.0048,0.123264,0.027452,0.355903,0.038009,0.230966,0.001062,0.102227,0.001086,0.023257,0.033747,192
0.05,learned_goal_state_classifier,6,0.385417,0.036636,0.204861,0.030415,0.548066,0.003409,0.081597,0.023012,0.008681,0.007529,0.128472,0.027607,0.364583,0.039539,0.230383,0.001013,0.102152,0.001045,0.035554,0.029418,192
0.05,learned_goal_state_classifier,7,0.366319,0.038767,0.168403,0.028543,0.548234,0.003248,0.085069,0.02224,0.010417,0.008225,0.114583,0.026275,0.388889,0.038093,0.230796,0.001118,0.102823,0.001075,-0.00406,0.030166,192
0.05,learned_goal_state_classifier,8,0.376736,0.038257,0.178819,0.030082,0.54746,0.003104,0.069444,0.022022,0.010417,0.008225,0.123264,0.0257,0.383681,0.038692,0.231276,0.001064,0.102289,0.00109,0.015674,0.032519,192
0.05,learned_goal_state_classifier,9,0.404514,0.040114,0.166667,0.030131,0.546566,0.003387,0.085069,0.024243,0.005208,0.005863,0.119792,0.027759,0.324653,0.037817,0.230818,0.00104,0.102008,0.001078,-0.010438,0.032979,192
0.05,oracle_goal_state_supervisor,0,1.0,0.0,0.850694,0.028025,0.78877,0.003258,0.0,0.0,0.0,0.0,0.015625,0.009992,0.579861,0.03993,0.33943,0.001058,0.017881,0.001018,0.778388,0.029471,192
0.05,oracle_goal_state_supervisor,1,1.0,0.0,0.862847,0.030227,0.787606,0.003155,0.0,0.0,0.0,0.0,0.005208,0.005863,0.611111,0.038699,0.341064,0.001039,0.017156,0.001083,0.79888,0.030905,192
0.05,oracle_goal_state_supervisor,2,1.0,0.0,0.852431,0.029619,0.788333,0.00316,0.0,0.0,0.0,0.0,0.019097,0.010986,0.583333,0.037683,0.340226,0.001001,0.017639,0.001008,0.778562,0.030817,192
0.05,oracle_goal_state_supervisor,3,1.0,0.0,0.847222,0.029282,0.789469,0.003278,0.0,0.0,0.0,0.0,0.005208,0.005863,0.600694,0.041851,0.341236,0.000979,0.01789,0.001026,0.782418,0.029746,192
0.05,oracle_goal_state_supervisor,4,1.0,0.0,0.855903,0.02957,0.788397,0.003069,0.0,0.0,0.0,0.0,0.015625,0.009992,0.579861,0.03814,0.340702,0.00102,0.017531,0.001002,0.783328,0.030236,192
0.05,oracle_goal_state_supervisor,5,1.0,0.0,0.828125,0.02894,0.787511,0.003364,0.0,0.0,0.0,0.0,0.008681,0.007529,0.574653,0.041276,0.339992,0.001076,0.017654,0.001052,0.759062,0.029213,192
0.05,oracle_goal_state_supervisor,6,1.0,0.0,0.873264,0.02839,0.788055,0.003119,0.0,0.0,0.0,0.0,0.006944,0.006752,0.592014,0.041975,0.340681,0.000998,0.017272,0.001077,0.804465,0.028788,192
0.05,oracle_goal_state_supervisor,7,1.0,0.0,0.845486,0.028898,0.787176,0.003076,0.0,0.0,0.0,0.0,0.010417,0.008225,0.588542,0.041004,0.34031,0.00108,0.01794,0.001076,0.77595,0.03024,192
0.05,oracle_goal_state_supervisor,8,1.0,0.0,0.866319,0.029372,0.790173,0.003208,0.0,0.0,0.0,0.0,0.008681,0.007529,0.605903,0.041028,0.33996,0.001068,0.017747,0.001036,0.800901,0.029815,192
0.05,oracle_goal_state_supervisor,9,1.0,0.0,0.878472,0.027817,0.787229,0.00354,0.0,0.0,0.0,0.0,0.003472,0.0048,0.574653,0.041276,0.338819,0.001048,0.017462,0.001096,0.814132,0.028253,192
0.05,pomdp_belief_planner,0,0.352431,0.040708,0.161458,0.03126,0.485838,0.003192,0.107639,0.024597,0.027778,0.013066,0.130208,0.028484,0.340278,0.038283,0.238027,0.001111,0.124237,0.001095,-0.036073,0.033878,192
0.05,pomdp_belief_planner,1,0.354167,0.039677,0.135417,0.028608,0.485686,0.003074,0.092014,0.024213,0.024306,0.012291,0.118056,0.025964,0.395833,0.043053,0.237825,0.001029,0.124251,0.001104,-0.048473,0.031333,192
0.05,pomdp_belief_planner,2,0.314236,0.034854,0.112847,0.024836,0.486372,0.003114,0.095486,0.024423,0.029514,0.01427,0.128472,0.026312,0.352431,0.039252,0.238375,0.001019,0.123633,0.001024,-0.066792,0.028412,192
0.05,pomdp_belief_planner,3,0.355903,0.039215,0.154514,0.028898,0.486547,0.003295,0.092014,0.023728,0.020833,0.011443,0.126736,0.027558,0.402778,0.039148,0.238537,0.001119,0.1242,0.001135,-0.022595,0.031386,192
0.05,pomdp_belief_planner,4,0.347222,0.039444,0.130208,0.028484,0.485635,0.003487,0.114583,0.027146,0.029514,0.01427,0.111111,0.025225,0.350694,0.037911,0.238113,0.001012,0.123779,0.00109,-0.060377,0.029466,192
0.05,pomdp_belief_planner,5,0.354167,0.040259,0.149306,0.029245,0.486416,0.003169,0.086806,0.023384,0.034722,0.015226,0.116319,0.026781,0.338542,0.041358,0.237656,0.000965,0.123955,0.001118,-0.040895,0.031338,192
0.05,pomdp_belief_planner,6,0.326389,0.035112,0.112847,0.027078,0.486499,0.003221,0.102431,0.026618,0.029514,0.01343,0.147569,0.029223,0.335069,0.038143,0.237562,0.00107,0.123678,0.001086,-0.079236,0.029299,192
0.05,pomdp_belief_planner,7,0.315972,0.03852,0.105903,0.026343,0.486846,0.003197,0.078125,0.021156,0.022569,0.011877,0.119792,0.027759,0.401042,0.042486,0.237033,0.00115,0.123534,0.001075,-0.061624,0.02709,192
0.05,pomdp_belief_planner,8,0.355903,0.037079,0.130208,0.028072,0.487766,0.003147,0.098958,0.023656,0.029514,0.01343,0.125,0.028747,0.368056,0.040066,0.236376,0.001003,0.124346,0.001081,-0.054646,0.032173,192
0.05,pomdp_belief_planner,9,0.328125,0.038137,0.142361,0.03032,0.486302,0.003258,0.095486,0.024423,0.026042,0.012687,0.125,0.027079,0.371528,0.043084,0.238159,0.001056,0.124039,0.00104,-0.043619,0.031759,192
0.05,proposed_disappearing_goal_belief_revision_v4,0,0.416667,0.039787,0.25,0.035125,0.637204,0.003297,0.022569,0.01282,0.001736,0.003403,0.055556,0.020087,0.486111,0.040319,0.267138,0.000993,0.082788,0.00103,0.118716,0.037744,192
0.05,proposed_disappearing_goal_belief_revision_v4,1,0.381944,0.03767,0.213542,0.03276,0.638341,0.00327,0.036458,0.014755,0.0,0.0,0.076389,0.024104,0.489583,0.041758,0.266954,0.001037,0.08275,0.001025,0.077526,0.033773,192
0.05,proposed_disappearing_goal_belief_revision_v4,2,0.423611,0.041773,0.248264,0.034875,0.638691,0.003223,0.017361,0.010504,0.0,0.0,0.055556,0.018893,0.473958,0.039908,0.26677,0.001029,0.082326,0.001089,0.122351,0.037578,192
0.05,proposed_disappearing_goal_belief_revision_v4,3,0.416667,0.039197,0.237847,0.035331,0.63715,0.003289,0.046875,0.017128,0.001736,0.003403,0.072917,0.0207,0.425347,0.039547,0.266407,0.001062,0.08298,0.000966,0.097383,0.036578,192
0.05,proposed_disappearing_goal_belief_revision_v4,4,0.411458,0.038365,0.227431,0.036685,0.638013,0.003197,0.024306,0.013204,0.003472,0.0048,0.055556,0.018267,0.446181,0.039639,0.266845,0.001095,0.082336,0.001075,0.093617,0.040562,192
0.05,proposed_disappearing_goal_belief_revision_v4,5,0.416667,0.040655,0.25,0.035455,0.637387,0.003347,0.024306,0.014058,0.0,0.0,0.0625,0.019673,0.467014,0.039511,0.267809,0.001116,0.082545,0.001018,0.117051,0.036646,192
0.05,proposed_disappearing_goal_belief_revision_v4,6,0.414931,0.039418,0.255208,0.0352,0.636402,0.003286,0.027778,0.013066,0.0,0.0,0.059028,0.019293,0.442708,0.038948,0.267249,0.000997,0.082565,0.001115,0.124558,0.036452,192
0.05,proposed_disappearing_goal_belief_revision_v4,7,0.425347,0.03774,0.237847,0.032944,0.637147,0.003442,0.03125,0.013779,0.0,0.0,0.048611,0.017368,0.487847,0.041749,0.267291,0.001142,0.082403,0.001134,0.103181,0.033817,192
0.05,proposed_disappearing_goal_belief_revision_v4,8,0.435764,0.043002,0.277778,0.036533,0.638447,0.003155,0.026042,0.012687,0.001736,0.003403,0.0625,0.021374,0.467014,0.040957,0.266809,0.000965,0.082015,0.00111,0.143266,0.038331,192
0.05,proposed_disappearing_goal_belief_revision_v4,9,0.432292,0.038911,0.227431,0.035393,0.637761,0.003425,0.024306,0.012291,0.0,0.0,0.0625,0.020256,0.470486,0.040439,0.267344,0.001067,0.082472,0.001093,0.089672,0.036606,192
0.05,risk_budgeted_goal_recovery,0,0.472222,0.040175,0.253472,0.033597,0.532513,0.003326,0.039931,0.016799,0.0,0.0,0.076389,0.022609,0.376736,0.040904,0.265694,0.001063,0.082416,0.001071,0.10097,0.035339,192
0.05,risk_budgeted_goal_recovery,1,0.423611,0.04205,0.190972,0.036583,0.533033,0.003288,0.085069,0.023758,0.0,0.0,0.118056,0.026845,0.40625,0.039613,0.265857,0.001081,0.082084,0.001056,0.011329,0.039353,192
0.05,risk_budgeted_goal_recovery,2,0.440972,0.040937,0.243056,0.034103,0.532328,0.003395,0.046875,0.017128,0.0,0.0,0.086806,0.023384,0.399306,0.038671,0.266066,0.001048,0.082654,0.00104,0.086011,0.035581,192
0.05,risk_budgeted_goal_recovery,3,0.470486,0.039271,0.232639,0.034537,0.533652,0.003261,0.065972,0.021163,0.0,0.0,0.125,0.027926,0.411458,0.044016,0.265557,0.000927,0.083014,0.000963,0.058072,0.037808,192
0.05,risk_budgeted_goal_recovery,4,0.428819,0.037255,0.201389,0.031253,0.533285,0.003306,0.046875,0.017128,0.0,0.0,0.095486,0.024895,0.378472,0.040148,0.266126,0.00113,0.082327,0.001079,0.039028,0.03355,192
0.05,risk_budgeted_goal_recovery,5,0.447917,0.043331,0.213542,0.033463,0.533782,0.003274,0.038194,0.016531,0.0,0.0,0.123264,0.02659,0.375,0.039933,0.265716,0.001042,0.082233,0.001091,0.040675,0.033923,192
0.05,risk_budgeted_goal_recovery,6,0.440972,0.040652,0.237847,0.033643,0.533199,0.003222,0.081597,0.023012,0.0,0.0,0.144097,0.026232,0.388889,0.038093,0.266131,0.001029,0.082708,0.00102,0.052909,0.035418,192
0.05,risk_budgeted_goal_recovery,7,0.487847,0.044187,0.222222,0.035236,0.53198,0.003135,0.045139,0.016175,0.0,0.0,0.107639,0.025526,0.428819,0.039676,0.266035,0.001081,0.082299,0.001074,0.066035,0.037706,192
0.05,risk_budgeted_goal_recovery,8,0.428819,0.039676,0.232639,0.033511,0.533211,0.003135,0.045139,0.018207,0.0,0.0,0.114583,0.026275,0.387153,0.040939,0.265728,0.001036,0.081945,0.001063,0.077133,0.034709,192
0.05,risk_budgeted_goal_recovery,9,0.453125,0.039227,0.206597,0.033296,0.533443,0.003164,0.053819,0.021576,0.0,0.0,0.086806,0.022366,0.378472,0.039268,0.265764,0.001036,0.082351,0.001087,0.048524,0.035128,192
0.05,risk_calibrated_goal_belief_revision_v5,0,0.479167,0.042235,0.345486,0.039308,0.72327,0.003276,0.001736,0.003403,0.0,0.0,0.029514,0.01343,0.527778,0.040175,0.295517,0.00106,0.034832,0.001036,0.240739,0.041172,192
0.05,risk_calibrated_goal_belief_revision_v5,1,0.460069,0.037566,0.300347,0.034979,0.724462,0.003232,0.0,0.0,0.0,0.0,0.026042,0.012687,0.552083,0.039392,0.296201,0.001062,0.035108,0.000961,0.195484,0.036577,192
0.05,risk_calibrated_goal_belief_revision_v5,2,0.493056,0.039481,0.338542,0.039041,0.723599,0.003304,0.0,0.0,0.0,0.0,0.029514,0.015064,0.538194,0.041432,0.296287,0.001041,0.034701,0.001054,0.232753,0.040065,192
0.05,risk_calibrated_goal_belief_revision_v5,3,0.472222,0.040175,0.309028,0.038444,0.72359,0.003123,0.0,0.0,0.0,0.0,0.022569,0.011877,0.532986,0.041522,0.294868,0.001165,0.034377,0.001078,0.20849,0.040266,192
0.05,risk_calibrated_goal_belief_revision_v5,4,0.465278,0.040928,0.321181,0.038409,0.723045,0.003517,0.001736,0.003403,0.0,0.0,0.019097,0.010986,0.559028,0.04122,0.295792,0.001101,0.034998,0.001032,0.219448,0.040507,192
0.05,risk_calibrated_goal_belief_revision_v5,5,0.473958,0.039615,0.305556,0.037165,0.725134,0.003199,0.001736,0.003403,0.0,0.0,0.022569,0.01282,0.508681,0.040922,0.295809,0.001002,0.035505,0.001001,0.205236,0.03947,192
0.05,risk_calibrated_goal_belief_revision_v5,6,0.505208,0.03978,0.324653,0.037817,0.724081,0.003425,0.0,0.0,0.0,0.0,0.032986,0.014918,0.550347,0.042009,0.296731,0.00113,0.035279,0.00105,0.222505,0.040274,192
0.05,risk_calibrated_goal_belief_revision_v5,7,0.489583,0.041479,0.362847,0.038522,0.7235,0.003162,0.0,0.0,0.0,0.0,0.022569,0.011877,0.506944,0.040355,0.296139,0.001077,0.034803,0.001019,0.264007,0.04038,192
0.05,risk_calibrated_goal_belief_revision_v5,8,0.460069,0.042234,0.295139,0.03852,0.722904,0.003244,0.0,0.0,0.0,0.0,0.019097,0.010986,0.534722,0.039185,0.295604,0.001104,0.034975,0.001115,0.193539,0.04011,192
0.05,risk_calibrated_goal_belief_revision_v5,9,0.515625,0.041446,0.329861,0.038596,0.722859,0.003125,0.0,0.0,0.0,0.0,0.026042,0.013573,0.557292,0.042657,0.295619,0.001117,0.034595,0.001067,0.229724,0.04087,192
0.05,robust_mpc_replan,0,0.355903,0.039511,0.135417,0.030191,0.45021,0.003169,0.098958,0.02462,0.008681,0.008942,0.140625,0.029512,0.319444,0.037321,0.251142,0.001168,0.114993,0.001034,-0.051539,0.033005,192
