ablation,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_ece,ci95_ece,mean_regret,ci95_regret,mean_utility,ci95_utility,groups
minus_active_reacquisition,8,0.708333,0.026206,0.6437,0.002726,0.590564,0.002976,0.024306,0.008684,0.002604,0.002931,0.03559,0.0116,0.427951,0.026816,0.532118,0.030509,0.58915,0.010726,0.22966,0.001015,0.035032,0.001042,0.254164,0.022769,0.612436,0.028175,192
minus_active_reacquisition,9,0.702257,0.02876,0.643311,0.002905,0.590028,0.002868,0.015625,0.0073,0.001736,0.0024,0.039062,0.011626,0.382812,0.027298,0.551215,0.030076,0.587872,0.0108,0.229128,0.001005,0.035659,0.001105,0.259429,0.025043,0.609365,0.03075,192
minus_delayed_reappearance_model,0,0.727431,0.025558,0.669455,0.002773,0.588656,0.002953,0.017361,0.007613,0.00434,0.003764,0.020833,0.008181,0.4375,0.030179,0.554687,0.027943,0.557947,0.01063,0.261996,0.000892,0.034835,0.001044,0.237603,0.022205,0.637951,0.028042,192
minus_delayed_reappearance_model,1,0.752604,0.025068,0.671436,0.003,0.589969,0.002737,0.021701,0.008985,0.006076,0.00443,0.018229,0.007762,0.496528,0.027075,0.532118,0.028942,0.556322,0.010788,0.261384,0.000848,0.034898,0.001005,0.215222,0.021781,0.661999,0.026708,192
minus_delayed_reappearance_model,2,0.757812,0.023238,0.672053,0.002655,0.590414,0.002728,0.018229,0.008128,0.002604,0.002931,0.020833,0.008181,0.483507,0.028905,0.522569,0.028055,0.557719,0.010791,0.262242,0.000978,0.034879,0.001062,0.211115,0.020247,0.670665,0.0245,192
minus_delayed_reappearance_model,3,0.736111,0.024759,0.672134,0.002925,0.590891,0.002546,0.010417,0.006209,0.002604,0.002931,0.018229,0.007762,0.500868,0.030083,0.532986,0.030058,0.557214,0.010703,0.260551,0.000968,0.035275,0.001054,0.229913,0.021555,0.657923,0.025262,192
minus_delayed_reappearance_model,4,0.742188,0.025277,0.671438,0.002893,0.591416,0.002838,0.013889,0.006964,0.002604,0.002931,0.017361,0.007613,0.47309,0.029447,0.549479,0.028751,0.556173,0.01047,0.262308,0.000994,0.034767,0.001049,0.224193,0.021879,0.660615,0.027445,192
minus_delayed_reappearance_model,5,0.748264,0.025643,0.671196,0.002713,0.590573,0.00284,0.013021,0.006787,0.00434,0.003764,0.019965,0.008045,0.46875,0.026714,0.537326,0.028204,0.555975,0.010821,0.261893,0.001021,0.035108,0.001055,0.219955,0.022399,0.663075,0.027226,192
minus_delayed_reappearance_model,6,0.743056,0.024818,0.671027,0.002731,0.589728,0.002838,0.018229,0.007762,0.005208,0.004113,0.026042,0.009846,0.455729,0.030201,0.517361,0.030415,0.556339,0.010451,0.26222,0.000991,0.035361,0.001099,0.223511,0.021538,0.647786,0.026568,192
minus_delayed_reappearance_model,7,0.751736,0.023635,0.669321,0.002808,0.589658,0.002723,0.022569,0.00844,0.003472,0.003376,0.015625,0.00689,0.486111,0.028578,0.552951,0.02893,0.554634,0.01065,0.261989,0.000971,0.034924,0.001057,0.216103,0.020495,0.66511,0.025529,192
minus_delayed_reappearance_model,8,0.725694,0.026422,0.669978,0.002891,0.590269,0.002821,0.019097,0.008266,0.001736,0.0024,0.017361,0.007613,0.47309,0.028339,0.523438,0.02682,0.55704,0.010852,0.262375,0.001014,0.034462,0.001025,0.238894,0.022976,0.640298,0.027263,192
minus_delayed_reappearance_model,9,0.740451,0.026171,0.669982,0.002851,0.590844,0.00291,0.017361,0.00722,0.00434,0.004471,0.026042,0.009545,0.470486,0.029048,0.534722,0.027382,0.554763,0.010826,0.261631,0.000901,0.035503,0.00103,0.226089,0.022696,0.64881,0.02795,192
minus_goal_change_detector,0,0.715278,0.028832,0.639788,0.002822,0.491204,0.00266,0.048611,0.012261,0.002604,0.002931,0.016493,0.007459,0.561632,0.029779,0.498264,0.030418,0.570766,0.010687,0.26414,0.000936,0.040631,0.001031,0.247731,0.024985,0.610197,0.032227,192
minus_goal_change_detector,1,0.723958,0.027469,0.640133,0.002815,0.490777,0.002761,0.044271,0.012236,0.00434,0.003764,0.013021,0.006343,0.523438,0.029996,0.476562,0.028401,0.572287,0.010447,0.264584,0.000972,0.040302,0.000986,0.240483,0.023971,0.61844,0.028783,192
minus_goal_change_detector,2,0.726562,0.025313,0.641315,0.002666,0.490043,0.002809,0.039062,0.011373,0.00434,0.004471,0.014757,0.006715,0.53559,0.028961,0.458333,0.029742,0.570486,0.01082,0.264798,0.000963,0.040259,0.001032,0.237867,0.021946,0.623889,0.02804,192
minus_goal_change_detector,3,0.704861,0.025866,0.64056,0.002875,0.490376,0.002825,0.046875,0.013519,0.003472,0.004149,0.010417,0.006209,0.522569,0.028261,0.486111,0.028168,0.570086,0.010698,0.266152,0.000863,0.040284,0.001061,0.257443,0.022563,0.600048,0.029301,192
minus_goal_change_detector,4,0.726562,0.025313,0.641689,0.002923,0.490317,0.0027,0.047743,0.012679,0.006076,0.00443,0.012153,0.006146,0.537326,0.028512,0.454861,0.029045,0.569676,0.010483,0.264978,0.000931,0.039985,0.001,0.238065,0.022027,0.617558,0.028326,192
minus_goal_change_detector,5,0.743056,0.025397,0.642343,0.002735,0.490893,0.002728,0.045139,0.012756,0.00434,0.003764,0.011285,0.00641,0.527778,0.027856,0.452257,0.03269,0.573267,0.01065,0.264752,0.000938,0.040669,0.000999,0.224571,0.022178,0.637373,0.027602,192
minus_goal_change_detector,6,0.700521,0.024666,0.639937,0.002772,0.489532,0.002576,0.040799,0.011756,0.006944,0.005304,0.022569,0.008088,0.515625,0.029364,0.476562,0.028808,0.570229,0.010597,0.264391,0.000851,0.040343,0.001013,0.260576,0.021379,0.589314,0.028309,192
minus_goal_change_detector,7,0.694444,0.025109,0.641714,0.002922,0.491298,0.002711,0.049479,0.012072,0.002604,0.002931,0.019097,0.008266,0.53125,0.028198,0.462674,0.030389,0.569582,0.01057,0.265312,0.00097,0.04079,0.001077,0.265717,0.021774,0.583798,0.028843,192
minus_goal_change_detector,8,0.723958,0.025944,0.641336,0.002683,0.490465,0.002874,0.039931,0.011938,0.005208,0.004113,0.025174,0.008801,0.525174,0.02928,0.482639,0.028129,0.571314,0.010441,0.265121,0.000933,0.040595,0.001043,0.24035,0.022525,0.614463,0.029339,192
minus_goal_change_detector,9,0.708333,0.027717,0.641398,0.002832,0.491134,0.002952,0.046007,0.012345,0.002604,0.002931,0.010417,0.005722,0.516493,0.02767,0.501736,0.028441,0.569624,0.01083,0.265893,0.00097,0.040789,0.00113,0.254488,0.024213,0.605384,0.030587,192
minus_intervention_utility_model,0,0.768229,0.025285,0.719017,0.002675,0.60195,0.002811,0.007812,0.004996,0.00434,0.003764,0.006076,0.00443,0.552083,0.027146,0.539931,0.030562,0.513136,0.010856,0.288246,0.000952,0.035023,0.001094,0.201973,0.022008,0.694736,0.026035,192
minus_intervention_utility_model,1,0.747396,0.022107,0.720511,0.002857,0.60191,0.002826,0.007812,0.004996,0.003472,0.003376,0.006944,0.004723,0.52691,0.027186,0.55816,0.028728,0.513734,0.010591,0.287261,0.000912,0.035045,0.001021,0.219964,0.01933,0.673907,0.022569,192
minus_intervention_utility_model,2,0.755208,0.025972,0.720074,0.002635,0.602665,0.00281,0.005208,0.004113,0.005208,0.004113,0.006076,0.005044,0.532986,0.029073,0.550347,0.027212,0.514359,0.010672,0.287493,0.000978,0.035435,0.001012,0.212909,0.022454,0.682426,0.027627,192
minus_intervention_utility_model,3,0.746528,0.023877,0.719008,0.002719,0.599725,0.002743,0.013021,0.006787,0.001736,0.0024,0.008681,0.005252,0.528646,0.028099,0.568576,0.028055,0.512359,0.010719,0.287778,0.001016,0.035096,0.001053,0.221027,0.020808,0.670695,0.025263,192
minus_intervention_utility_model,4,0.767361,0.025066,0.71905,0.00279,0.600021,0.002927,0.006944,0.004723,0.001736,0.0024,0.006076,0.00443,0.519097,0.026508,0.553819,0.02782,0.514965,0.010706,0.288039,0.000931,0.03517,0.001084,0.202685,0.021853,0.695986,0.026002,192
minus_intervention_utility_model,5,0.753472,0.024478,0.720272,0.002706,0.59965,0.002802,0.010417,0.005722,0.00434,0.003764,0.006944,0.004723,0.508681,0.027794,0.579861,0.028945,0.51499,0.010704,0.287229,0.000882,0.034472,0.001142,0.215175,0.021299,0.677108,0.026145,192
minus_intervention_utility_model,6,0.747396,0.024952,0.720457,0.002681,0.600955,0.003035,0.019097,0.007529,0.002604,0.002931,0.013021,0.006343,0.536458,0.02988,0.560764,0.029372,0.513657,0.011076,0.288145,0.0009,0.035177,0.001039,0.220094,0.0218,0.663513,0.025909,192
minus_intervention_utility_model,7,0.748264,0.023388,0.718435,0.002706,0.60181,0.002722,0.013021,0.006787,0.00434,0.003764,0.005208,0.004113,0.547743,0.029705,0.53125,0.029607,0.514157,0.010762,0.288427,0.000957,0.034912,0.001066,0.219337,0.02044,0.670911,0.024302,192
minus_intervention_utility_model,8,0.757812,0.025277,0.720067,0.002651,0.602491,0.002821,0.006076,0.00443,0.001736,0.0024,0.00434,0.003764,0.533854,0.029203,0.565972,0.027395,0.514152,0.010615,0.2889,0.000955,0.034774,0.001052,0.21082,0.021975,0.689316,0.026447,192
minus_intervention_utility_model,9,0.77691,0.023942,0.718796,0.00296,0.602079,0.002755,0.013889,0.006533,0.002604,0.002931,0.008681,0.005252,0.537326,0.032696,0.546875,0.02909,0.5144,0.010488,0.288088,0.000862,0.0349,0.001043,0.194614,0.020904,0.698841,0.024522,192
minus_observation_memory_separation,0,0.739583,0.027039,0.58417,0.002549,0.553363,0.003003,0.038194,0.011559,0.007812,0.004996,0.02691,0.009649,0.507812,0.028266,0.524306,0.027817,0.615296,0.010603,0.279902,0.000978,0.03969,0.00114,0.226861,0.023528,0.621624,0.029849,192
minus_observation_memory_separation,1,0.725694,0.024597,0.586401,0.00267,0.550781,0.002878,0.029514,0.00934,0.00434,0.003764,0.022569,0.008778,0.520833,0.027769,0.511285,0.029055,0.616287,0.01075,0.279047,0.00102,0.038874,0.00102,0.238665,0.021396,0.620565,0.026421,192
minus_observation_memory_separation,2,0.713542,0.02614,0.58468,0.002848,0.552331,0.002857,0.025174,0.010037,0.002604,0.002931,0.025174,0.009743,0.483507,0.029005,0.519965,0.027834,0.616487,0.010634,0.278144,0.000905,0.039089,0.000992,0.249251,0.022711,0.610046,0.028813,192
minus_observation_memory_separation,3,0.728299,0.025573,0.583542,0.002909,0.552418,0.002955,0.033854,0.010664,0.001736,0.0024,0.019965,0.008399,0.499132,0.030083,0.539062,0.028567,0.618208,0.010699,0.277876,0.000999,0.038791,0.001064,0.23654,0.02221,0.624539,0.027961,192
minus_observation_memory_separation,4,0.737847,0.025813,0.5855,0.002846,0.551893,0.002655,0.032986,0.010853,0.005208,0.004113,0.016493,0.007058,0.489583,0.02941,0.505208,0.028227,0.615115,0.010542,0.279049,0.000946,0.038881,0.000983,0.228167,0.022421,0.630648,0.028416,192
minus_observation_memory_separation,5,0.706597,0.025358,0.5846,0.002826,0.552555,0.002842,0.026042,0.009846,0.000868,0.001701,0.019965,0.008045,0.507812,0.028369,0.532986,0.02867,0.615712,0.010285,0.279131,0.001005,0.039195,0.00108,0.256314,0.022139,0.609172,0.027036,192
minus_observation_memory_separation,6,0.717014,0.026232,0.585499,0.002995,0.55324,0.002793,0.030382,0.009743,0.003472,0.003376,0.033854,0.011453,0.474826,0.027644,0.520833,0.029595,0.617534,0.010594,0.279569,0.001046,0.039402,0.001049,0.246647,0.022913,0.602936,0.028594,192
minus_observation_memory_separation,7,0.693576,0.026646,0.585198,0.002807,0.552276,0.002683,0.025174,0.009439,0.00434,0.003764,0.013889,0.006533,0.493056,0.029033,0.530382,0.029773,0.616029,0.010683,0.279223,0.000982,0.039338,0.001061,0.266825,0.023177,0.5954,0.028356,192
minus_observation_memory_separation,8,0.724826,0.026951,0.583176,0.002903,0.552232,0.002885,0.037326,0.011741,0.008681,0.006263,0.017361,0.007986,0.46441,0.027624,0.515625,0.030146,0.616921,0.010713,0.278727,0.000908,0.039195,0.001021,0.2396,0.023406,0.609207,0.030125,192
minus_observation_memory_separation,9,0.730903,0.026065,0.58519,0.00275,0.551713,0.002717,0.029514,0.009944,0.00434,0.004471,0.019965,0.008399,0.474826,0.025222,0.525174,0.027539,0.614351,0.010836,0.278177,0.0009,0.039444,0.001062,0.234519,0.022676,0.625662,0.028386,192
minus_physical_validity_test,0,0.72309,0.027133,0.611323,0.002695,0.535695,0.002944,0.043403,0.013321,0.015625,0.0073,0.025174,0.008801,0.517361,0.027817,0.471354,0.031515,0.584324,0.010569,0.284238,0.000987,0.047258,0.001083,0.24135,0.023594,0.591611,0.03155,192
minus_physical_validity_test,1,0.72309,0.0267,0.612959,0.002826,0.53478,0.002777,0.039062,0.011874,0.014757,0.007909,0.03559,0.010549,0.543403,0.028696,0.500868,0.028595,0.584626,0.011128,0.284391,0.000966,0.047524,0.00102,0.241114,0.023257,0.591867,0.031131,192
minus_physical_validity_test,2,0.716146,0.028852,0.612628,0.002888,0.536887,0.002689,0.041667,0.01157,0.016493,0.007058,0.039062,0.010578,0.537326,0.030485,0.5,0.030515,0.585044,0.010926,0.284649,0.000889,0.047635,0.001091,0.246849,0.025091,0.579965,0.033987,192
minus_physical_validity_test,3,0.738715,0.027139,0.611658,0.002717,0.534957,0.002695,0.032986,0.010303,0.013021,0.006343,0.019965,0.009066,0.540799,0.028314,0.510417,0.029311,0.585205,0.010309,0.284598,0.000867,0.047581,0.001052,0.227789,0.023707,0.623211,0.030456,192
minus_physical_validity_test,4,0.692708,0.026167,0.611383,0.002752,0.53529,0.002536,0.038194,0.011044,0.014757,0.007135,0.02691,0.009649,0.529514,0.028236,0.480903,0.02821,0.584535,0.010337,0.28517,0.000984,0.04773,0.001089,0.267565,0.022778,0.565409,0.030357,192
minus_physical_validity_test,5,0.681424,0.026066,0.610683,0.002853,0.534542,0.002814,0.046007,0.012345,0.012153,0.006146,0.03125,0.009836,0.538194,0.026859,0.497396,0.028183,0.581894,0.010662,0.283662,0.001026,0.047261,0.001049,0.277832,0.022677,0.550613,0.029205,192
minus_physical_validity_test,6,0.722222,0.024044,0.611217,0.002762,0.536976,0.002842,0.042535,0.010855,0.015625,0.007688,0.027778,0.009446,0.533854,0.029003,0.5,0.029049,0.584237,0.010572,0.284712,0.000912,0.047107,0.001097,0.241963,0.020962,0.591643,0.029938,192
minus_physical_validity_test,7,0.690972,0.02675,0.612502,0.002778,0.53654,0.002902,0.040799,0.010988,0.020833,0.008864,0.026042,0.008915,0.540799,0.02769,0.509549,0.030628,0.584662,0.010613,0.284309,0.000988,0.048201,0.001065,0.269177,0.023316,0.557791,0.030396,192
minus_physical_validity_test,8,0.729167,0.027453,0.612026,0.002846,0.53694,0.002612,0.050347,0.012591,0.017361,0.007613,0.032118,0.010771,0.565972,0.032272,0.482639,0.028743,0.584922,0.010728,0.28488,0.000941,0.047429,0.0011,0.235664,0.023794,0.590871,0.032129,192
minus_physical_validity_test,9,0.717014,0.024032,0.612607,0.00263,0.534164,0.002603,0.051215,0.01436,0.016493,0.007839,0.024306,0.008684,0.537326,0.029907,0.479167,0.031959,0.584381,0.010745,0.284552,0.000852,0.047755,0.001044,0.246735,0.020933,0.580581,0.028981,192
minus_risk_calibration,0,0.731771,0.026078,0.697048,0.002876,0.600282,0.002846,0.02691,0.009026,0.009549,0.006,0.015625,0.0073,0.532118,0.028127,0.560764,0.030538,0.531673,0.01088,0.261795,0.000905,0.126946,0.001002,0.233643,0.022659,0.620171,0.028657,192
minus_risk_calibration,1,0.757812,0.024695,0.698597,0.002647,0.602079,0.002707,0.028646,0.008917,0.012153,0.006146,0.022569,0.00844,0.534722,0.02953,0.547743,0.028911,0.531245,0.01074,0.260534,0.000879,0.127336,0.001103,0.210697,0.021464,0.638151,0.02754,192
minus_risk_calibration,2,0.731771,0.025741,0.697588,0.002822,0.601251,0.002907,0.036458,0.01035,0.016493,0.007459,0.013021,0.007203,0.498264,0.028132,0.552951,0.025623,0.532795,0.010708,0.260176,0.000945,0.127537,0.001123,0.233221,0.022271,0.604771,0.029228,192
minus_risk_calibration,3,0.759549,0.023721,0.696501,0.002716,0.60078,0.002546,0.030382,0.010323,0.013021,0.007203,0.015625,0.0073,0.525174,0.02987,0.546007,0.027945,0.531415,0.010552,0.261578,0.000944,0.127187,0.000944,0.209607,0.020693,0.641071,0.027414,192
minus_risk_calibration,4,0.736111,0.02602,0.696533,0.002849,0.600481,0.002846,0.026042,0.009236,0.010417,0.005722,0.010417,0.006209,0.523438,0.032059,0.578993,0.028639,0.531852,0.010779,0.261137,0.00105,0.127078,0.001049,0.229732,0.022579,0.627437,0.02815,192
minus_risk_calibration,5,0.757812,0.027164,0.697546,0.002764,0.602308,0.002663,0.024306,0.00933,0.010417,0.005722,0.014757,0.006715,0.520833,0.031129,0.581597,0.027715,0.531791,0.01077,0.261689,0.001039,0.127052,0.000997,0.211453,0.023764,0.648529,0.029088,192
minus_risk_calibration,6,0.749132,0.026426,0.69637,0.002655,0.601549,0.002683,0.026042,0.008915,0.011285,0.00641,0.018229,0.008478,0.527778,0.028271,0.553819,0.030799,0.530742,0.010778,0.261414,0.000933,0.127448,0.001104,0.218062,0.022929,0.635068,0.029092,192
minus_risk_calibration,7,0.77691,0.022949,0.69682,0.002886,0.601806,0.00275,0.03125,0.010411,0.013021,0.006787,0.020833,0.009186,0.524306,0.029836,0.576389,0.02873,0.531645,0.010834,0.261785,0.000865,0.127401,0.001128,0.194148,0.019933,0.655781,0.02635,192
minus_risk_calibration,8,0.758681,0.026398,0.697935,0.002905,0.601469,0.002916,0.030382,0.009743,0.011285,0.005939,0.010417,0.005722,0.517361,0.03003,0.551215,0.030269,0.532183,0.010812,0.260953,0.000892,0.127263,0.001096,0.210471,0.023036,0.644424,0.02779,192
minus_risk_calibration,9,0.763889,0.025109,0.698243,0.002879,0.599783,0.003025,0.02691,0.009026,0.006076,0.00443,0.012153,0.007813,0.519965,0.031,0.552951,0.02903,0.529676,0.010755,0.261383,0.000914,0.127457,0.001038,0.205835,0.021851,0.657046,0.027113,192
minus_substitute_goal_planner,0,0.717882,0.02558,0.71791,0.002825,0.441412,0.002759,0.046875,0.012858,0.006076,0.00443,0.012153,0.007813,0.549479,0.028852,0.412326,0.027393,0.515134,0.010913,0.239696,0.000906,0.034935,0.001118,0.245998,0.022289,0.618779,0.028311,192
minus_substitute_goal_planner,1,0.729167,0.025244,0.719576,0.002804,0.440294,0.002809,0.051215,0.014156,0.002604,0.002931,0.006076,0.005044,0.553819,0.029446,0.389757,0.0267,0.513471,0.010812,0.23852,0.00092,0.035094,0.001006,0.23573,0.021995,0.634078,0.027126,192
